artist_name,year_artist_born,age,length,width,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,300.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,48.2,36.8,1.0,2020.0,70.0,1000.0,1200.0,378.0,3,1773.76,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2009.0,59.0,600.0,800.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2009.0,59.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2017.0,67.0,150.0,250.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,500.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,800.0,1000.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,500.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2008.0,58.0,500.0,700.0,1134.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2012.0,62.0,400.0,600.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2009.0,59.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2020.0,70.0,300.0,500.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,600.0,882.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,400.0,600.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2015.0,65.0,500.0,700.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,43.2,33.0,1.0,2017.0,67.0,600.0,800.0,378.0,10,1425.6000000000001,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2014.0,64.0,500.0,700.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,300.0,500.0,126.0,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,300.0,500.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,1000.0,1500.0,1764.01,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,600.0,800.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,33.0,25.4,1.0,2016.0,66.0,300.0,500.0,126.0,3,838.1999999999999,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,500.0,700.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2008.0,58.0,400.0,600.0,378.0,3,2787.7000000000003,0
