artist_name,year_artist_born,age,length,width,title_of_work,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Philip Guston,1913.0,67.0,49.2,68.8,Head Smoking,1.0,1972.0,59.0,374654.7,499539.6,440593.93,1,3384.96,1
Antony Gormley,1950.0,71.0,50.0,191.0,FIX II,41.0,2002.0,52.0,224792.82,312212.25,298974.45,5,391550.0,0
Miriam Cahn,1949.0,72.0,87.3,70.5,diesen frühling überlebt,1.0,2001.0,52.0,24976.98,37465.47,102280.73,1,6154.65,0
Paula Rego,1935.0,86.0,101.5,75.9,Good Dog,1.0,1994.0,59.0,999079.2,1498618.8,1484506.81,1,7703.85,0
Lucian Freud,1922.0,89.0,19.0,27.3,Head and Shoulders of a Man,1.0,1974.0,52.0,749309.4,999079.2,1378729.3,1,518.7,1
Jadé Fadojutimi,1993.0,28.0,170.0,190.0,The Barefooted Scurry Home,1.0,2017.0,24.0,224792.82,312212.25,1031174.62,1,32300.0,0
Jörg Immendorff,1945.0,62.0,150.2,200.4,Auf zum 38. Parteitag,1.0,1983.0,38.0,99907.92,149861.88,220296.96,1,30100.079999999998,1
Andreas Gursky,1955.0,66.0,144.0,207.5,Chicago Mercantile Exchange,1.0,1997.0,42.0,249769.8,374654.7,623175.65,10,29880.0,0
Alighiero Boetti,1940.0,54.0,100.0,100.0,"Senza titolo (I verbi irregolari, Tocchi e rintocchi, Per nuovi desideri…)",1.0,1989.0,49.0,374654.7,499539.6,502287.07,5,10000.0,1
Fausto Melotti,1901.0,85.0,103.5,94.0,La bestia veliero,21.0,1971.0,70.0,187327.35,249769.8,330445.45,2,204309.0,1
Cinga Samson,1986.0,35.0,80.4,59.9,Lift Off,1.0,2017.0,31.0,62442.45,87419.43,401255.18,1,4815.96,0
Oli Epp,1994.0,27.0,200.0,150.0,Love Song,1.0,2019.0,25.0,31221.23,43709.72,220296.96,1,30000.0,0
Trey Abdella,1994.0,27.0,157.4,99.1,Backyard BBQ,1.0,2018.0,24.0,49953.96,74930.94,149487.23,1,15598.34,0
Mickalene Thomas,1971.0,50.0,213.36,152.4,Clarivel Left,1.0,2014.0,43.0,187327.35,249769.8,570286.9,10,32516.064000000002,0
John Russell,1745.0,61.0,76.2,64.1,"Portrait of ayoung man, half-length, said to be Peter Speirs",1.0,1767.0,22.0,8000.0,12000.0,16380.13,1,4884.42,1
"Sir David Wilkie, R.A.",1785.0,56.0,14.2,20.6,"Sketch for""A Whisky Still at Lochgilphead""",1.0,1817.0,32.0,20000.0,30000.0,27720.22,1,292.52,1
Richard Parkes Bonington,1801.0,27.0,19.2,16.7,"Henry IV praying, accompanied by twoladies (La Prière)",1.0,1826.0,25.0,30000.0,50000.0,40320.32,1,320.64,1
Max Beckmann,1884.0,66.0,67.3,45.4,Bildnis eines Türken (Portrait of a Turk),1.0,1926.0,42.0,2000000.0,3000000.0,2682021.52,1,3055.4199999999996,1
Sam Szafran,1934.0,85.0,72.4,100.3,Untitled (Les Choux),1.0,1964.0,30.0,8575.2,12862.8,11480.05,1,7261.72,1
Sam Szafran,1934.0,85.0,30.5,27.0,Untitled (escalier fragmenté),1.0,1990.0,56.0,8575.2,12862.8,16207.13,1,823.5,1
Bernard Frize,1954.0,67.0,79.8,79.8,Boreal D,1.0,1996.0,42.0,32157.0,42876.0,74282.67,1,6368.04,0
Carlos Cruz-Diez,1923.0,96.0,62.0,61.0,Physiochromie no. 391,1.0,1968.0,45.0,85752.0,128628.0,121553.46,5,3782.0,1
Yves Klein,1928.0,34.0,69.0,32.0,La Vénus d'Alexandrie (S41),24.0,1982.0,54.0,64314.0,85752.0,87788.61,5,52992.0,1
Bosco Sodi,1970.0,51.0,186.0,15.0,Rojo retondo,1.0,2012.0,42.0,32157.0,42876.0,67529.7,5,2790.0,0
Paul Jenkins,1923.0,89.0,46.0,27.0,The Erl King (Le Roi des Aulnes),1.0,1958.0,35.0,5359.5,7503.3,12155.35,1,1242.0,1
Philippe Hiquily,1925.0,88.0,65.0,83.0,Ornuteros,20.0,1960.0,35.0,16078.5,21438.0,67529.7,2,107900.0,1
Enoc Perez,1967.0,54.0,152.0,203.0,"Crystal House, Miami",1.0,2016.0,49.0,21438.0,32157.0,27011.88,1,30856.0,0
Robert Combas,1957.0,64.0,100.0,81.5,Untitled,1.0,1994.0,37.0,32157.0,53595.0,101294.55,1,8150.0,0
Julian Opie,1958.0,63.0,74.0,80.7,Caterina dancing in black dress,1.0,2009.0,51.0,16078.5,21438.0,25661.29,6,5971.8,0
Yves Klein,1928.0,34.0,67.0,32.0,Esclave mourant d'après Michel-Ange (S20),16.0,1992.0,64.0,37516.5,48235.5,56724.95,5,34304.0,1
Ali Banisadr,1976.0,45.0,40.6,40.6,The Sun/Son,1.0,2013.0,37.0,64314.0,85752.0,101294.55,1,1648.3600000000001,0
Josh Sperling,1984.0,37.0,137.0,152.0,Hobo Jungle,1.0,2017.0,33.0,64314.0,96471.0,81035.64,1,20824.0,0
Conrad Marca-Relli,1913.0,87.0,50.0,65.5,Hommage to Miró,1.0,1973.0,60.0,16078.5,21438.0,22960.1,1,3275.0,1
Gabriel Orozco,1962.0,59.0,20.0,20.0,Heraldico VI,1.0,2013.0,51.0,42876.0,64314.0,54023.76,1,400.0,0
Jean Cortot,1925.0,93.0,130.0,97.0,Ecritures,1.0,1972.0,47.0,4287.6,6431.4,5672.49,1,12610.0,1
Bernard Réquichot,1929.0,32.0,55.0,75.0,Papiers choisis,1.0,1957.0,28.0,7503.3,10719.0,9454.16,5,4125.0,1
César,1921.0,77.0,38.0,32.0,Poule aux patins,16.0,1995.0,74.0,16078.5,21438.0,56724.95,2,19456.0,1
César,1921.0,77.0,135.0,143.0,Pompes de Claire,71.0,1987.0,66.0,64314.0,85752.0,189083.16,2,1370655.0,1
Arman,1928.0,77.0,84.0,78.0,Untitled,61.0,1992.0,64.0,6431.4,8575.2,8103.56,2,399672.0,1
Marko Celebonovic,1902.0,84.0,92.0,73.6,Untitled,1.0,1977.0,75.0,4287.6,6431.4,10129.46,1,6771.2,1
Maurice Estève,1904.0,97.0,42.5,30.5,Baku,1.0,1969.0,65.0,4287.6,6431.4,27011.88,3,1296.25,1
Maurice Estève,1904.0,97.0,26.5,39.0,Untitled,1.0,1967.0,63.0,4287.6,6431.4,37816.63,1,1033.5,1
Jacques Doucet,1924.0,70.0,106.0,89.0,Happening végétal,1.0,1983.0,59.0,3215.7,5359.5,5132.26,1,9434.0,1
Miguel Berrocal,1933.0,73.0,51.0,32.0,Opus 106 Cleopatra,17.0,1968.0,35.0,8575.2,12862.8,20258.91,2,27744.0,1
Philippe Hiquily,1925.0,88.0,210.0,220.0,L'Accouplement,1.0,2011.0,86.0,37516.5,58954.5,47270.79,2,46200.0,1
Wayne Gonzales,1957.0,64.0,97.5,97.5,Cheering Crowd,1.0,2007.0,50.0,7503.3,10719.0,9454.16,1,9506.25,0
Zhan Wang,1962.0,59.0,38.0,56.0,Artificial rock,42.0,2011.0,49.0,7503.3,9647.1,11480.05,2,89376.0,0
Chéri Cherin,1955.0,66.0,136.0,186.5,Les Sapeurs,1.0,2008.0,53.0,3215.7,5359.5,4321.9,1,25364.0,0
Bari Kumar,1966.0,55.0,183.5,122.0,Surrender (diptych),1.0,2005.0,39.0,2143.8,3215.7,135.06,1,22387.0,0
Bari Kumar,1966.0,55.0,152.0,121.8,Useless,1.0,1998.0,32.0,2143.8,3215.7,405.18,1,18513.6,0
Kiran Telkar,1968.0,53.0,167.0,228.5,Innocent Muscle,1.0,2008.0,40.0,2143.8,3215.7,810.36,1,38159.5,0
Probir Gupta,1960.0,61.0,274.5,396.0,"Islam, the caretaker of Beth El Synagogue(diptych)",1.0,2007.0,47.0,3215.7,5359.5,8103.56,1,108702.0,0
Alexis Kersey,1976.0,45.0,75.0,59.0,Untitled #4,1.0,2007.0,31.0,1071.9,2143.8,675.3,2,4425.0,0
Alexis Kersey,1976.0,45.0,74.3,60.5,Untitled #2,1.0,2007.0,31.0,1071.9,2143.8,405.18,2,4495.15,0
Yoshitomo Nara,1959.0,62.0,33.0,44.0,Doggy Radio,25.0,2011.0,52.0,2143.8,3215.7,5132.26,5,36300.0,0
Yoshitomo Nara,1959.0,62.0,61.0,45.5,Marching on a Butterbur Leaf,1.0,2019.0,60.0,857.52,1071.9,2701.19,3,2775.5,0
Jeff Koons,1955.0,66.0,44.5,28.0,Puppy (Vase),33.0,1998.0,43.0,5359.5,7503.3,6752.97,5,41118.0,0
KAWS,1974.0,47.0,27.5,13.0,"Small lie (brown) (i), Small lie (black) (ii), Small lie (grey) (iii)",12.0,2017.0,43.0,1071.9,1286.28,3241.43,5,4290.0,0
Charles Fazzino,1955.0,66.0,91.0,71.0,A penny saved is a penny earned,1.0,2002.0,47.0,1607.85,2143.8,2701.19,6,6461.0,0
David Reed,1946.0,75.0,77.8,34.6,Color Study #5,1.0,2018.0,72.0,4287.6,6431.4,5672.49,5,2691.88,0
Josh Sperling,1984.0,37.0,79.0,64.5,Friend,3.0,2019.0,35.0,2143.8,3215.7,4051.78,10,15286.5,0
Christo Vladimirov Javacheff,1935.0,85.0,44.0,36.0,Vierge à l'enfant,1.0,1963.0,28.0,2143.8,3215.7,10804.75,1,1584.0,1
Niki de Saint-Phalle,1930.0,72.0,61.5,47.5,L'oiseau amoureux (vase),19.0,2000.0,70.0,25725.6,32157.0,35136.88,5,55503.75,1
Hilary Pecis,1979.0,42.0,74.0,58.5,Camellias and Leopard,1.0,2019.0,40.0,37465.47,62442.45,346180.94,1,4329.0,0
Jammie Holmes,1984.0,37.0,91.4,121.6,Before Dark,1.0,2019.0,35.0,43709.72,56198.21,66089.09,1,11114.24,0
Godwin Champs Namuyimba,1989.0,32.0,152.0,132.0,Hot Times,1.0,2021.0,32.0,12488.49,18732.74,70809.74,1,20064.0,0
Louis Fratino,1993.0,28.0,23.7,32.9,After Bronzino,1.0,2018.0,25.0,6244.25,8741.94,50353.59,3,779.7299999999999,0
Isshaq Ismail,1989.0,32.0,90.3,75.4,Blue Face III,1.0,2019.0,30.0,7493.09,9990.79,110148.48,1,6808.62,0
Aboudia,1983.0,38.0,150.0,399.2,Jeux d'Enfant,1.0,2012.0,29.0,43709.72,56198.21,251767.96,5,59880.0,0
Claire Tabouret,1981.0,40.0,115.0,171.0,The Blue Dancers,1.0,2016.0,35.0,124884.9,187327.35,267503.46,1,19665.0,0
Salman Toor,1983.0,38.0,112.0,144.5,Untitled,1.0,2010.0,27.0,74930.94,99907.92,314709.95,1,16184.0,0
Robert Nava,1985.0,36.0,43.0,35.5,Untitled,1.0,2018.0,33.0,7493.09,9990.79,17309.05,4,1526.5,0
Aboudia,1983.0,38.0,121.9,152.5,Untitled,1.0,2016.0,33.0,24976.98,37465.47,86545.24,1,18589.75,0
Robert Nava,1985.0,36.0,21.0,29.5,Untitled,1.0,2017.0,32.0,4995.4,7493.09,11801.62,4,619.5,0
Aboudia,1983.0,38.0,150.0,300.0,Graffitis,1.0,2018.0,35.0,24976.98,37465.47,125883.98,1,45000.0,0
Flora Yukhnovich,1990.0,31.0,21.0,14.5,Study,1.0,2020.0,30.0,12488.49,18732.74,59794.89,1,304.5,0
Bridget Riley,1931.0,90.0,66.2,86.8,May 28 Bassacs,1.0,1989.0,58.0,149861.88,187327.35,251767.96,10,5746.16,0
Damien Hirst,1965.0,56.0,34.0,38.0,Apomorphine,1.0,1991.0,26.0,149861.88,224792.82,346180.94,5,1292.0,0
Banksy,1974.0,47.0,30.5,30.5,Keep It Real,1.0,2003.0,29.0,499539.6,749309.4,623175.65,1,930.25,0
Cecily Brown,1969.0,52.0,254.0,279.4,"Hard, Fast and Beautiful",1.0,2000.0,31.0,374654.7,499539.6,623175.65,1,70967.59999999999,0
Harland Miller,1964.0,57.0,152.0,121.0,Hard as Fuck,1.0,2002.0,38.0,37465.47,49953.96,86545.24,4,18392.0,0
Petra Cortright,1986.0,35.0,101.5,76.1,"DEATHKARZ ""australia"" and ""songlines"" and ""dreamtime""_ 102.12018",1.0,2018.0,32.0,7493.09,9990.79,59794.89,5,7724.15,0
Jeff Elrod,1966.0,55.0,156.0,110.5,Rugburn,1.0,2019.0,53.0,49953.96,74930.94,94412.98,1,17238.0,0
André Butzer,1973.0,48.0,200.0,140.5,Untitled (12),1.0,2008.0,35.0,74930.94,99907.92,125883.98,1,28100.0,0
Günther Förg,1952.0,61.0,250.0,420.0,Ohne Titel,1.0,1995.0,43.0,374654.7,499539.6,592953.51,1,105000.0,1
Sigmar Polke,1941.0,69.0,50.0,39.8,Probe for Documenta,1.0,1982.0,41.0,49953.96,74930.94,66089.09,5,1989.9999999999998,1
Gerhard Richter,1932.0,89.0,87.0,50.0,Onkel Rudi,1.0,2000.0,68.0,14986.19,18732.74,15735.5,7,4350.0,0
Joseph Beuys,1921.0,65.0,29.0,19.8,O.T.,1.0,1958.0,37.0,74930.94,99907.92,149487.23,1,574.2,1
Peter Dreher,1932.0,88.0,25.2,20.1,Tag um Tag guter Tag (Day by Day good Day) Nr. 2452 (Night),1.0,2009.0,77.0,7493.09,9990.79,25176.8,1,506.52000000000004,1
Anselm Kiefer,1945.0,76.0,103.0,80.5,Lieber rot als tot,12.0,1997.0,52.0,112396.41,149861.88,125883.98,5,99498.0,0
Louise Bourgeois,1911.0,99.0,30.8,32.7,Clutching,29.5,1999.0,88.0,224792.82,312212.25,361916.44,2,29711.220000000005,1
Josef Albers,1888.0,88.0,60.5,60.5,Homage to the Square: Autumn Air,1.0,1968.0,80.0,249769.8,374654.7,623175.65,1,3660.25,1
Eduardo Chillida,1924.0,78.0,27.0,28.0,Lurra G-188,28.0,1990.0,66.0,87419.43,124884.9,204561.47,6,21168.0,1
Christo,1935.0,85.0,31.0,78.2,"Over the River (Project for Arkansas River, Colorado)",1.0,2000.0,65.0,37465.47,49953.96,188825.97,1,2424.2000000000003,1
Rashid Johnson,1971.0,50.0,120.5,180.5,Sunshine,23.0,2010.0,39.0,74930.94,99907.92,94412.98,1,500255.75,0
Theaster Gates,1973.0,48.0,61.0,61.0,Embeded Hose Tight,12.0,2012.0,39.0,18732.74,24976.98,50353.59,2,44652.0,0
Carl Andre,1935.0,86.0,38.0,53.4,45 Degree Swipe,1.0,1971.0,36.0,149861.88,224792.82,283238.95,10,2029.2,0
Lawrence Weiner,1942.0,79.0,104.0,161.5,Something Above What Below Is + Something Below What Above Is,53.5,2006.0,64.0,62442.45,87419.43,78677.49,9,898586.0,0
Kazuo Shiraga,1924.0,84.0,200.0,140.0,Hirogaru ougi,1.0,1965.0,41.0,187327.35,249769.8,456329.42,1,28000.0,1
Jorinde Voigt,1977.0,44.0,200.0,140.0,Konnex 5 Horizonte / Konnex 5 Horizons,1.0,2012.0,35.0,18732.74,24976.98,18882.6,7,28000.0,0
Jadé Fadojutimi,1993.0,28.0,20.0,29.0,A Muddled Mind That's Never Confined,1.0,2021.0,28.0,99907.92,149861.88,1303173.93,1,580.0,0
Rose Wylie,1934.0,87.0,346.5,328.0,Black Bird with Hawthorn Leaves,1.0,2015.0,81.0,3746.55,4995.4,9441.3,10,113652.0,0
Tracey Emin,1963.0,58.0,29.0,29.0,Flower Field,1.0,2017.0,54.0,99907.92,149861.88,220296.96,9,841.0,0
Bob and Roberta Smith,1963.0,58.0,70.2,70.2,Art For Your World,1.0,2021.0,58.0,3746.55,4995.4,4091.23,1,4928.04,0
Jessica Rankin,1971.0,50.0,65.0,49.6,Two Sides of Alive,1.0,2021.0,50.0,8741.94,12488.49,11801.62,1,3224.0,0
David Hockney,1937.0,84.0,35.0,43.0,Mark,1.0,1975.0,38.0,62442.45,87419.43,133751.73,10,1505.0,0
David Hockney,1937.0,84.0,40.6,40.6,Gregory & Mark,1.0,1975.0,38.0,37465.47,49953.96,94412.98,10,1648.3600000000001,0
Gilbert and George,1942.0,-1942.0,101.5,101.5,Money and Shit,1.0,1997.0,55.0,24976.98,37465.47,157354.97,5,10302.25,0
Andy Warhol,1928.0,59.0,190.0,160.0,Portrait of Susanne Stahel,1.0,1980.0,52.0,199815.84,299723.76,502287.07,1,30400.0,1
Manolo Valdés,1942.0,79.0,88.8,116.0,Mujer Con Abanico III,1.0,2006.0,64.0,124884.9,187327.35,251767.96,1,10300.8,0
Antoni Clavé,1913.0,92.0,24.0,19.0,Peix Vermell amb Copa,1.0,1956.0,43.0,12488.49,18732.74,37765.19,1,456.0,1
George Condo,1957.0,64.0,190.0,170.0,Untitled,1.0,1985.0,28.0,14986.19,22479.28,94412.98,1,32300.0,0
Sam Francis,1923.0,71.0,152.0,248.5,Untitled,1.0,1978.0,55.0,87419.43,112396.41,110148.48,1,37772.0,1
Igor Mitoraj,1944.0,70.0,50.8,62.2,Bocca,1.0,1984.0,40.0,62442.45,87419.43,204561.47,2,3159.7599999999998,1
Damien Hirst,1965.0,56.0,160.0,125.5,"Enter the Infinite (The Visions), Ecstasy",1.0,2016.0,51.0,49953.96,74930.94,188825.97,10,20080.0,0
Stefan Brüggemann,1975.0,46.0,103.5,171.5,Mirror 26,1.0,2010.0,35.0,18732.74,24976.98,188825.97,1,17750.25,0
Vik Muniz,1961.0,60.0,376.0,278.0,"Poplars, after Claude Monet (Pictures of Pigments)",1.0,2005.0,44.0,24976.98,37465.47,50353.59,7,104528.0,0
Roy Lichtenstein,1923.0,74.0,354.0,355.0,"Illustration for ""Amérique"" (Corlett 267)",1.0,1992.0,69.0,10000.0,15000.0,23940.19,3,125670.0,1
Robert Indiana,1928.0,90.0,557.0,560.0,Love,1.0,1997.0,69.0,4000.0,6000.0,10080.08,3,311920.0,1
Andy Warhol,1928.0,59.0,521.0,523.0,Flowers (Feldman & Schellmann II.6),30.0,1964.0,36.0,15000.0,20000.0,47880.38,3,8174490.0,1
Andy Warhol,1928.0,59.0,2388.0,1765.0,Portraits of the Artists (F. & S. II.17),1.0,1967.0,39.0,25000.0,35000.0,25200.2,3,4214820.0,1
Heiner Meyer,1953.0,68.0,1530.0,2134.0,Mickey,1.0,2011.0,58.0,30000.0,50000.0,100800.81,2,3265020.0,0
Tom Blackwell,1938.0,83.0,2134.0,3048.0,Howdy Beef ‘n Burger,1.0,1974.0,36.0,25000.0,35000.0,32760.26,1,6504432.0,0
Zio Ziegler,1988.0,33.0,203.0,358.0,The Protagonist and His Abstract Wake,1.0,2015.0,27.0,6000.0,8000.0,25200.2,1,72674.0,0
Andy Warhol,1928.0,59.0,110.0,73.5,VIP Ticket - Studio 54,1.0,1978.0,50.0,40000.0,60000.0,151201.21,5,8085.0,1
Andy Warhol,1928.0,59.0,111.2,73.4,Mick Jagger (F. & S. II.138),1.0,1975.0,47.0,40000.0,60000.0,138601.11,3,8162.080000000001,1
Andy Warhol,1928.0,59.0,111.0,73.5,Mick Jagger (F. & S. II.139),1.0,1975.0,47.0,40000.0,60000.0,113400.91,3,8158.5,1
Andy Warhol,1928.0,59.0,111.6,73.7,Mick Jagger (F. & S. II.140),1.0,1975.0,47.0,40000.0,60000.0,151201.21,3,8224.92,1
Andy Warhol,1928.0,59.0,111.2,73.5,Mick Jagger (F. & S. II.141),1.0,1975.0,47.0,40000.0,60000.0,163801.31,3,8173.2,1
